Hero ID,Nama Hero,Win Rate,Pick Rate,Ban Rate,Speciality,Rank Filter,Timeframe,Data Date,Image URL
15,Eudora,49.53%,0.78%,2.92%,"Control, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_60956060c4cbb86f3c6343da05b70568.png
17,Fanny,40.64%,0.7%,8.5%,"Chase, Finisher",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3391df36d6dcc54dd1c417098e15ec59.png
76,Faramis,51.11%,0.13%,0.74%,"Guard, Charge",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_04e575d648d7f7ac1174f4369595c3a2.png
112,Floryn,53.61%,1.03%,61.59%,"Poke, Guard",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a57b91e4914cf071a3849e352e530a5.png
10,Franco,46.13%,2%,10.21%,"Initiator, Control",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2928027062e3c2a97bc3fd4a84897012.png
117,Fredrinn,52.1%,1.01%,17.18%,"Damage, Chase",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_dea170bfd5f26c41fb04e5edf72afedb.png
22,Freya,50.43%,0.54%,2.19%,"Chase, Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_2_1_18_2/100_b9c34c88762ca8e66ccd4d84071bf0bc.png
41,Gatotkaca,51.06%,1.53%,2.16%,"Crowd Control, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_96f9dbbc096e0f0a28f9b9e587d06a9c.png
104,Gloo,55.69%,0.62%,51.14%,"Regen, Control",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_642/100_c472fe0233e5ef84a3ac9ba4a229d09f.png
23,Gord,52.1%,0.55%,0.34%,"Poke, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_47/100_9513f5e10ec33f76747732eaf2082259.png
79,Granger,45.68%,2.98%,13.16%,"Burst, Finisher",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_22/100_a7729262d5b4abdc34ae5181e964c235.png
44,Grock,49.33%,0.99%,32.51%,"Crowd Control, Initiator",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_902/100_f8b8c8964d3202b7b762947ac96f1ed3.png
80,Guinevere,50.06%,1.1%,2.74%,"Burst, Magic Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_901bdd5d4432a2c0290dfc71df615a5a.png
56,Gusion,48.59%,1.78%,10.41%,"Burst, Magic Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c6cd232de60da5372a7101a203e56554.png
60,Hanabi,53.28%,2.38%,3.09%,"Finisher, Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8a9c1966feb34e85d7bdcc1ed01ffb5d.png
69,Hanzo,50.87%,0.31%,4.02%,"Poke, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_47/100_d2d28d2fcb060726fa27553920ca1a33.png
73,Harith,45.14%,0.24%,0.12%,"Chase, Damage",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_d228a823b477fdf6c458c829c2e62bcf.png
42,Harley,49.91%,1.23%,7.91%,"Burst, Poke",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3aa6964c07a70f9b125da447f320e1ac.png
21,Hayabusa,50.15%,1.1%,48.2%,"Chase, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9cc074562291a02644a0ddae28eeaa42.png
51,Helcurt,51.32%,1.05%,15.35%,"Push, Burst",ALL,Past 1 day,2025-12-18T13:00:26.000Z,https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6abf0c552b59b8ca4cbc1af3662ef176.png
