Match_Order,Game_Number,Team_Left,Team_Right,Winner_Match,Left_Bans,Left_Picks,Right_Bans,Right_Picks
31,2,Bigetron by Vitality,RRQ Hoshi,Bigetron by Vitality,"Arlott, Selena, Cici, Yve 2024, Uranus","Esmeralda, Yi Sun-Shin, Zhuxin, Ruby, Khaleed","Wanwan 2025, Baxia, Granger 2024, Gatotkaca, Grock 2025","Phoveus 2024, Lancelot 2021, Pharsa, Harith, Hylos"
31,3,Bigetron by Vitality,RRQ Hoshi,Bigetron by Vitality,"Selena, Cici, Arlott, Grock 2025, Hilda","Chou, Hayabusa 2021, Zhuxin, Harith, Hylos","Wanwan 2025, Baxia, Yi Sun-Shin, Benedetta, Khaleed","Uranus, Lancelot 2021, Lunox, Granger 2024, Gatotkaca"
32,1,Dewa United Esports,Geek Fam ID,Dewa United Esports,"Zhuxin, Phoveus 2024, Uranus, Hilda, Cici","Terizla, Fanny, Helcurt 2024, Harith, Chou","Wanwan 2025, Baxia, Arlott, Grock 2025, Gatotkaca","Gloo 2025, Yi Sun-Shin, Kimmy 2025, Moskov 2023, Kalea"
32,2,Dewa United Esports,Geek Fam ID,Dewa United Esports,"Phoveus 2024, Yi Sun-Shin, Moskov 2023, Valentina, Kadita","Esmeralda, Fanny, Kimmy 2025, Bruno 2023, Grock 2025","Wanwan 2025, Baxia, Arlott, Granger 2024, Uranus","Cici, Lancelot 2021, Zhuxin, Harith, Kalea"
32,3,Dewa United Esports,Geek Fam ID,Dewa United Esports,"Phoveus 2024, Yi Sun-Shin, Moskov 2023, Valentina, Kadita","Uranus, Fanny, Kimmy 2025, Bruno 2023, Grock 2025","Wanwan 2025, Arlott, Baxia, Granger 2024, Esmeralda","Gloo 2025, Lancelot 2021, Pharsa, Harith, Kalea"
33,1,Geek Fam ID,Natus Vincere,Natus Vincere,"Fanny, Zhuxin, Harith, Pharsa, Ruby","Arlott, Lancelot 2021, Kimmy 2025, Claude 2024, Chip","Wanwan 2025, Helcurt 2024, Baxia, Uranus, Phoveus 2024","Esmeralda, Yi Sun-Shin, Selena, Cici, Khaleed"
33,2,Geek Fam ID,Natus Vincere,Natus Vincere,"Fanny, Zhuxin, Harith, Fredrinn, Hayabusa 2021","Cici, Yi Sun-Shin, Lunox, Ruby, Khaleed","Wanwan 2025, Helcurt 2024, Baxia, Valentina, Selena","Arlott, Guinevere, Kimmy 2025, Granger 2024, Chip"
34,1,EVOS,ONIC,ONIC,"Phoveus 2024, Fanny, Pharsa, Irithel, Harith","Lapu-Lapu, Guinevere, Zhuxin, Wanwan 2025, Khaleed","Baxia, Chip, Uranus, Arlott, Fredrinn","Cici, Yi Sun-Shin, Angela 2024 v2, Lunox, Chou"
34,2,EVOS,ONIC,ONIC,"Fanny, Pharsa, Angela 2024 v2, Arlott, Esmeralda","Uranus, Hayabusa 2021, Zhuxin, Granger 2024, Gatotkaca","Baxia, Chip, Wanwan 2025, Hilda, Lunox","Gloo 2025, Yi Sun-Shin, Kagura 2021, Harith, Khaleed"
34,3,EVOS,ONIC,ONIC,"Pharsa, Angela 2024 v2, Fanny, Granger 2024, Harith","Arlott, Fredrinn, Valentina, Wanwan 2025, Gatotkaca","Uranus, Baxia, Chip, Selena, Yve 2024","Phoveus 2024, Lancelot 2021, Zhuxin, Claude 2024, Hylos"
